PropertyId,PropertyDesc,PropertyDeutsch,PropertyEnglisch,PropertyDeutschCH,PropertyFranzoesisch,PropertyNiederlaendisch,PropertyItalienisch,PropertySpanisch,PropertyValueId,PropertyValueDesc,PropertyValueDeutsch,PropertyValueEnglisch,PropertyValueDeutschCH,PropertyValueFranzoesisch,PropertyValueNiederlaendisch,PropertyValueItalienisch,PropertyValueSpanisch
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1328,Kontur-Aufkleber,Kontur-Aufkleber,Custom Shaped Stickers,Kontur-Aufkleber,Etiquettes découpe à à la forme,Contourstickers,Adesivi sagomati,Pegatinas troqueladas
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1329,Etiketten auf Bogen,Etiketten auf Bogen,Label Sheets,Etiketten auf Bogen,Etiquettes en planches,Etiketten op vel,Etichette su foglio,Etiquetas adhesivas en pliego
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1330,Klebefolien Freiformat,Klebefolien Freiformat,Bespoke Window Decals,Klebefolien Freiformat,Films adhésifs sur mesure,Raamfolie wensformaat,Pellicole adesive  formato libero,Vinilos adhesivos formato libre
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1331,Planen Freiformat,Planen Freiformat,Bespoke Tarpaulins,Planen Freiformat,Bâches mesh sur mesure,Spandoeken wensformaat,Maxi affissioni formato libero,Lonas formato libre
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1332,Schilder Freiformat,Schilder Freiformat,Bespoke Signs,Schilder Freiformat,Panneaux sur mesure,Reclameborden wensformaat,Targhe formato libero,Paneles formato libre
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1333,Stoffbanner Freiformat,Stoffbanner Freiformat,Bespoke Cloth Banners,Stoffbanner Freiformat,Bannières en tissu sur mesure,Textiel banners wensformaat,Banner formato libero,Banners textiles formato libre
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1334,Liegestühle,Liegestühle,Deckchairs,Liegestühle,Chaises longues,Ligstoelen,Sedie a sdraio,Tumbonas
139,Material 1. Blatt,Oberblatt,Top sheet,Oberblatt,Feuillet 1 (CB),Bovenste blad,Foglio originale,Hoja original,1344,80g SD-Papier weiß,SD-Papier weiß 80 g/m²,80g carbonless paper white,SD-Papier weiss 80 g/m²,80 g/m² papier autocopiant blanc,80 g/m² zelfkopiërend papier wit,80 g/m² carta autocopiativa bianca,papel autocopiativo blanco de 80 g/m²
140,Material 2. Blatt,1. Durchschlag,Copy 1,1. Durchschlag,Feuillet 2 (CFB),Doorslag 1,Copia 1,Hoja de copia 1,1345,80g SD-Papier weiß,SD-Papier weiß 80 g/m²,80g carbonless paper white,SD-Papier weiss 80 g/m²,80 g/m² papier autocopiant blanc,80 g/m² zelfkopiërend papier wit,80 g/m² carta autocopiativa bianca,papel autocopiativo blanco de 80 g/m²
142,Material 4. Blatt,3. Durchschlag,Copy 3,3. Durchschlag,Feuillet 4 (CFB),Doorslag 3,Copia 3,Hoja de copia 3,1355,80g SD-Papier weiß,SD-Papier weiß 80 g/m²,80g carbonless paper white,SD-Papier weiss 80 g/m²,80 g/m² papier autocopiant blanc,80 g/m² zelfkopiërend papier wit,80 g/m² carta autocopiativa bianca,papel autocopiativo blanco de 80 g/m²
