PropertyId,PropertyDesc,PropertyDeutsch,PropertyEnglisch,PropertyDeutschCH,PropertyFranzoesisch,PropertyNiederlaendisch,PropertyItalienisch,PropertySpanisch,PropertyValueId,PropertyValueDesc,PropertyValueDeutsch,PropertyValueEnglisch,PropertyValueDeutschCH,PropertyValueFranzoesisch,PropertyValueNiederlaendisch,PropertyValueItalienisch,PropertyValueSpanisch
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1426,113 x 57 x 73 cm,113 x 57 x 73 cm,113 x 57 x 73 cm,113 x 57 x 73 cm,113 x 57 x 73 cm,113 x 57 x 73 cm,113 x 57 x 73 cm,113 x 57 x 73 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1427,99 x 42 cm,99 x 42 cm,99 x 42 cm,99 x 42 cm,99 x 42 cm,99 x 42 cm,99 x 42 cm,99 x 42 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1428,97 x 40 cm,97 x 40 cm,97 x 40 cm,97 x 40 cm,97 x 40 cm,97 x 40 cm,97 x 40 cm,97 x 40 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1429,110 x 40 cm,110 x 40 cm,110 x 40 cm,110 x 40 cm,110 x 40 cm,110 x 40 cm,110 x 40 cm,110 x 40 cm
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,1430,auf Bogen DIN A4,auf Bogen DIN A4,on an A4 sheet,auf DIN A4 Bogen,sur planche A4,80 g/m² zelfklevend papier wit,su foglio A4,en pliego A4
51,DruckmusterTyp,Druckmustertyp,Sample type,Druckmustertyp,Type d'échantillon,Drukmonstertype,Tipo di campionario,Tipo de muestrario,1432,Musterset Aufkleber (Reseller),Musterset Aufkleber neutral,Sticker Sample Set (Reseller),Musterset Aufkleber neutral,Kit d'échantillons autocollants (revendeurs),Monsterset stickers (resellers),Campionario adesivi (rivenditori),Muestrario de adhesivos marca blanca
51,DruckmusterTyp,Druckmustertyp,Sample type,Druckmustertyp,Type d'échantillon,Drukmonstertype,Tipo di campionario,Tipo de muestrario,1431,Musterset Aufkleber (Branded),Musterset Aufkleber,Sticker Sample Set ,Musterset Aufkleber,Kit d'échantillons autocollants,Monsterset stickers,Campionario adesivi (con marchio),Muestrario de adhesivos
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1469,Allwetterplakat,Allwetterplakat,All-weather Poster,Allwetterplakat,Affiche extérieur en carton,All-weather poster,Manifesti antipioggia,Cartel plastificado para exteriores
6,Produktgruppe,Produktgruppe,Product group,Produktgruppe,Catégorie de produit,Productgroep,Categoria prodotti,Tipo de producto,1476,Hohlkammerplakate,Hohlkammerplakate,Corrugated Plastic Posters,Hohlkammerplakate,PLV cache poteau,Kanaalplaat posters,Pannelli polionda per esterni,Cartel de plástico corrugado
152,Ausführung Hohlkammerplakat,Ausführung,Style,Ausführung,Type,Uitvoering,Modello,Modelo,1433,Hohlkammerplakate,einseitig,one sided,einseitig,simple,eenzijdig,singolo,1 cara
152,Ausführung Hohlkammerplakat,Ausführung,Style,Ausführung,Type,Uitvoering,Modello,Modelo,1434,Doppel-Hohlkammerplakate,doppelseitig,two sided,doppelseitig,double,dubbelzijdig,doppio,2 caras
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,1435,70 x 100 cm hoch,70 x 100 cm hoch,70 x 100 cm portrait,70 x 100 cm hoch,70 x 100 cm vertical,70 x 100 cm staand,70 x 100 cm verticale,70 x 100 vertical
48,Bohrung,Lochbohrung,Hole punching,Lochbohrung,Trous perforés,Boorgaten,Foratura,Agujeros,1436,10 Lochbohrungen rundum,10 Lochbohrungen rundum,10 holes punched around poster,10 Lochbohrungen rundum,10 œillets tout autour,10 boorgaten rondom,10 fori perimetrali,10 perforaciones alrededor
48,Bohrung,Lochbohrung,Hole punching,Lochbohrung,Trous perforés,Boorgaten,Foratura,Agujeros,1437,14 Lochbohrungen rundum,14 Lochbohrungen rundum,14 holes punched around poster,14 Lochbohrungen rundum,14 œillets tout autour,14 boorgaten rondom,14 fori perimetrali,14 perforaciones alrededor
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,1438,ohne Kabelbinder,ohne Kabelbinder,without zip ties,ohne Kabelbinder,sans colliers de serrage,zonder kabelbinders,senza fascette serracavo,sin bridas
64,Zubehör,Zubehör,Equipment,Zubehör,Accessoires,Accessoires,Accessori,Accesorios,1439,inklusive Kabelbinder,mit Kabelbinder,with zip ties,mit Kabelbinder,avec colliers de serrage,met kabelbinders,con fascette serracavo,con bridas
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1440,55 x 250 cm,55 x 250 cm,55 x 250 cm,55 x 250 cm,55 x 250 cm,55 x 250 cm,55 x 250 cm,55 x 250 cm
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1441,60 x 310 cm,60 x 310 cm,60 x 310 cm,60 x 310 cm,60 x 310 cm,60 x 310 cm,60 x 310 cm,60 x 310 cm
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1442,80 x 410 cm,80 x 410 cm,80 x 410 cm,80 x 410 cm,80 x 410 cm,80 x 410 cm,80 x 410 cm,80 x 410 cm
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1443,85 x 520 cm,85 x 520 cm,85 x 520 cm,85 x 520 cm,85 x 520 cm,85 x 520 cm,85 x 520 cm,85 x 520 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1444,52 x 200 cm,52 x 200 cm,52 x 200 cm,52 x 200 cm,52 x 200 cm,52 x 200 cm,52 x 200 cm,52 x 200 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1445,"57,5 x 254,5 cm","57,5 x 254,5 cm",57.5 x 254.5 cm,"57,5 x 254,5 cm","57,5 x 254,5 cm","57,5 x 254,5 cm","57,5 x 254,5 cm","57,5 x 254,5 cm"
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1446,"75,5 x 335,5 cm","75,5 x 335,5 cm",75.5 x 335.5 cm,"75,5 x 335,5 cm","75,5 x 335,5 cm","75,5 x 335,5 cm","75,5 x 335,5 cm","75,5 x 335,5 cm"
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1447,"80 x 444,8 cm","80 x 444,8 cm",80 x 444.8 cm,"80 x 444,8 cm","80 x 444,8 cm","80 x 444,8 cm","80 x 444,8 cm","80 x 444,8 cm"
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1448,65 x 213 cm,65 x 213 cm,65 x 213 cm,65 x 213 cm,65 x 213 cm,65 x 213 cm,65 x 213 cm,65 x 213 cm
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1449,95 x 250 cm,95 x 250 cm,95 x 250 cm,95 x 250 cm,95 x 250 cm,95 x 250 cm,95 x 250 cm,95 x 250 cm
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1450,110 x 330 cm,110 x 330 cm,110 x 330 cm,110 x 330 cm,110 x 330 cm,110 x 330 cm,110 x 330 cm,110 x 330 cm
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1451,120 x 430 cm,120 x 430 cm,120 x 430 cm,120 x 430 cm,120 x 430 cm,120 x 430 cm,120 x 430 cm,120 x 430 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1452,"59,3 x 164,4 cm","59,3 x 164,4 cm",59.3 x 164.4 ,"59,3 x 164,4 cm","59,3 x 164,4 ","59,3 x 164,4 ","59,3 x 164,4 ","59,3 x 164,4 "
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1453,"89,8 x 201,2 cm","89,8 x 201,2 cm",89.8 x 201.2 ,"89,8 x 201,2 cm","89,8 x 201,2 ","89,8 x 201,2 ","89,8 x 201,2 ","89,8 x 201,2 "
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1454,"106,2 x 263,1 cm","106,2 x 263,1 cm",106.2 x 263.1 cm,"106,2 x 263,1 cm","106,2 x 263,1 ","106,2 x 263,1 ","106,2 x 263,1 ","106,2 x 263,1 "
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1455,"115,5 x 358,8 cm","115,5 x 358,8 cm",115.5 x 358.8 ,"115,5 x 358,8 cm","115,5 x 358,8 ","115,5 x 358,8 ","115,5 x 358,8 cm","115,5 x 358,8 "
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1464,80 x 350 cm,80 x 350 cm,80 x 350 cm,80 x 350 cm,80 x 350 cm,80 x 350 cm,80 x 350 cm,80 x 350 cm
149,Größe2,Produktmaße,Product size,Produktmasse,Taille globale du produit,Productafmeting,Dimensioni prodotto,Tamaño completo,1465,80 x 450 cm,80 x 450 cm,80 x 450 cm,80 x 450 cm,80 x 450 cm,80 x 450 cm,80 x 450 cm,80 x 450 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1466,80 x 300 cm,80 x 300 cm,80 x 300 cm,80 x 300 cm,80 x 300 cm,80 x 300 cm,80 x 300 cm,80 x 300 cm
150,Druckgröße,Druckfläche,Printed area,Druckfläche,Zone d'impression,Drukoppervlak,Area stampabile,Área de impresión,1467,80 x 400 cm,80 x 400 cm,80 x 400 cm,80 x 400 cm,80 x 400 cm,80 x 400 cm,80 x 400 cm,80 x 400 cm
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,1468,200 Blatt,200 Blatt,200 sheets,200 Blatt,200 feuilles,200 vellen,200 fogli,200 hojas
9,B/H Format,Endformat,Finished size,Endformat,Format final,Formaat,Formato finale,Tamaño final,1470,594x920mm hoch (ca. DIN A1),DIN A1 (594 x 841 mm) hoch,A1 (594 x 841 mm) portrait,DIN A1 (594 x 841 mm) hoch,A1 (594 x 841 mm) vertical,A1 (594 x 841 mm) staand,DIN A1 (594 x 841 mm) verticale,A1 (594 x 841 mm) vertical
8,Papier / Material,Material,Material,Material,Matériau,Materiaal,Materiale,Material,1471,840 g/m² Karton matt,840 g/m² Karton matt,840gsm posterboard silk finish,840 g/m² Karton matt,840 g/m² carton mat,840 g/m² karton mat,840 g/m² cartoncino opaco,840 g/m² cartón mate
45,Verarbeitungsart,Verarbeitungsart,Type of processing,Verarbeitungsart,Traitement,Afwerking,Tipo di lavorazione,Tipo de elaboración,1472,Stabilisierungslaschen genutet,Stabilisierungslaschen genutet,Grooved flaps for stability,Stabilisierungslaschen genutet,pattes de renforcement,flappen als versteviging (met rillijn),orli di rinforzo,Pestañas de refuerzo
102,Zustelltermin,Lieferung,Delivery,Lieferung,Date de livraison,Levertijd,Consegna,Entrega,1055,"Standard (p: std, v: std)",Standard,Standard,Standard,Standard,Standaard,Standard,Standard
102,Zustelltermin,Lieferung,Delivery,Lieferung,Date de livraison,Levertijd,Consegna,Entrega,1056,"Standard+ (p: std, v: exp)",Standard+,Standard+,Standard+,Standard+,Standaard+,Standard+,Standard+
